"HDR","FEC","8.0","FECfile","8.0.1.5(f29)","",""
"F3XN","C00449801","MATTHEW 25 NETWORK","","PO BOX 33995","","WASHINGTON","DC","20033","YE","","","","20110701","20111231","","Korzen","Christopher","","","","20120131","2596.57","0.00","2596.57","0.00","2596.57","0.00","10492.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3696.57","2011","0.00","3696.57","1100.00","2596.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1100.00","1100.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SD10","C00449801","SD10.4515","IND","","Caldwell","Suzette","","","","PO Box 130876","","Spring","TX","77393","Newspaper Advertisement","4931.64","0.00","0.00","4931.64"
"SD10","C00449801","SD10.7012","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Reimbursement for Legal Services","-4415.00","0.00","0.00","-4415.00"
"SD10","C00449801","SD10.7004","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Staff Time","4132.99","0.00","0.00","4132.99"
"SD10","C00449801","SD10.7006","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Rent","92.69","0.00","0.00","92.69"
"SD10","C00449801","SD10.7007","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Web and email hosting","51.48","0.00","0.00","51.48"
"SD10","C00449801","SD10.7008","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Email list rental","2054.20","0.00","0.00","2054.20"
"SD10","C00449801","SD10.7139","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Email list rental","6.35","0.00","0.00","6.35"
"SD10","C00449801","SD10.7136","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Staff time","2354.84","0.00","0.00","2354.84"
"SD10","C00449801","SD10.7137","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Rent","102.42","0.00","0.00","102.42"
"SD10","C00449801","SD10.7138","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Email and web hosting","20.59","0.00","0.00","20.59"
"SD10","C00449801","SD10.7343","ORG","Catholics United","","","","","","415 Michigan Ave. NE","","Washington","DC","20017","Web hosting - 6 months","60.00","0.00","0.00","60.00"
"SD10","C00449801","SD10.6753","ORG","Salem Radio Representatives","","","","","","6400 N. Belt Line Road","","Irving","TX","75063","Radio Ads","1100.00","0.00","0.00","1100.00"
